Periodicity;Year;Month;Quarter;Transactions / Sales;Sector;Value in different units;Date_Object;Date;Name
Quarterly;2018;;Q4;Education;Sales;1352002.91652;2018-10-01;Q4 2018;Education :  Sales
Quarterly;2018;;Q4;Public Utilities;Number of Transactions;2267.059;2018-10-01;Q4 2018;Public Utilities :  Number of Transactions
Quarterly;2018;;Q1;Others;Number of Transactions;21993.559;2018-01-01;Q1 2018;Others :  Number of Transactions
Quarterly;2018;;Q1;Total;Number of Transactions;220704.28;2018-01-01;Q1 2018;Total :  Number of Transactions
Quarterly;2018;;Q4;Total;Number of Transactions;301250.338;2018-10-01;Q4 2018;Total :  Number of Transactions
Quarterly;2018;;Q2;Total;Sales;61761998.0;2018-04-01;Q2 2018;Total :  Sales
Monthly;2018;MAY;;Transportation;Number of Transactions;1605.617;2018-05-01;MAY 2018;Transportation :  Number of Transactions
Monthly;2018;SEP;;Transportation;Number of Transactions;1690.301;2018-09-01;SEP 2018;Transportation :  Number of Transactions
Monthly;2018;OCT;;Transportation;Number of Transactions;1834.271;2018-10-01;OCT 2018;Transportation :  Number of Transactions
Monthly;2018;MAR;;Transportation;Sales;1452878.102;2018-03-01;MAR 2018;Transportation :  Sales
Monthly;2018;JUN;;Transportation;Sales;1387634.67063;2018-06-01;JUN 2018;Transportation :  Sales
Monthly;2018;DEC;;Transportation;Sales;1669803.93888999;2018-12-01;DEC 2018;Transportation :  Sales
Monthly;2018;JAN;;Health;Number of Transactions;9752.201;2018-01-01;JAN 2018;Health :  Number of Transactions
Monthly;2018;OCT;;Health;Number of Transactions;11945.56;2018-10-01;OCT 2018;Health :  Number of Transactions
Monthly;2018;NOV;;Health;Number of Transactions;11726.466;2018-11-01;NOV 2018;Health :  Number of Transactions
Monthly;2018;FEB;;Health;Sales;1599231.487;2018-02-01;FEB 2018;Health :  Sales
Monthly;2018;FEB;;Restaurants & Café;Sales;1319859.93574995;2018-02-01;FEB 2018;Restaurants & Café :  Sales
Monthly;2018;APR;;Restaurants & Café;Sales;1589268.80690995;2018-04-01;APR 2018;Restaurants & Café :  Sales
Monthly;2018;JUL;;Restaurants & Café;Sales;1757133.10265994;2018-07-01;JUL 2018;Restaurants & Café :  Sales
Monthly;2018;AUG;;Restaurants & Café;Sales;1757891.28029995;2018-08-01;AUG 2018;Restaurants & Café :  Sales
Monthly;2018;JAN;;Hotels;Number of Transactions;805.187;2018-01-01;JAN 2018;Hotels :  Number of Transactions
Monthly;2018;FEB;;Hotels;Number of Transactions;690.968;2018-02-01;FEB 2018;Hotels :  Number of Transactions
Monthly;2018;MAR;;Hotels;Number of Transactions;855.185;2018-03-01;MAR 2018;Hotels :  Number of Transactions
Monthly;2018;MAY;;Hotels;Number of Transactions;852.66;2018-05-01;MAY 2018;Hotels :  Number of Transactions
Monthly;2018;SEP;;Hotels;Number of Transactions;799.137;2018-09-01;SEP 2018;Hotels :  Number of Transactions
Monthly;2018;FEB;;Hotels;Sales;516340.287709997;2018-02-01;FEB 2018;Hotels :  Sales
Monthly;2018;AUG;;Hotels;Sales;521353.388699996;2018-08-01;AUG 2018;Hotels :  Sales
Monthly;2018;NOV;;Hotels;Sales;575198.737269997;2018-11-01;NOV 2018;Hotels :  Sales
Monthly;2018;AUG;;Beverage and Food;Number of Transactions;19999.796;2018-08-01;AUG 2018;Beverage and Food :  Number of Transactions
Monthly;2018;DEC;;Beverage and Food;Number of Transactions;24266.392;2018-12-01;DEC 2018;Beverage and Food :  Number of Transactions
Monthly;2018;MAR;;Beverage and Food;Sales;2433430.541;2018-03-01;MAR 2018;Beverage and Food :  Sales
Monthly;2018;APR;;Beverage and Food;Sales;2451799.927;2018-04-01;APR 2018;Beverage and Food :  Sales
Monthly;2018;MAY;;Beverage and Food;Sales;2964148.799;2018-05-01;MAY 2018;Beverage and Food :  Sales
Monthly;2018;NOV;;Beverage and Food;Sales;2599339.59284001;2018-11-01;NOV 2018;Beverage and Food :  Sales
Monthly;2018;APR;;Clothing and Footwear;Number of Transactions;9792.432;2018-04-01;APR 2018;Clothing and Footwear :  Number of Transactions
Monthly;2018;APR;;Clothing and Footwear;Sales;2474665.775;2018-04-01;APR 2018;Clothing and Footwear :  Sales
Monthly;2018;JUL;;Clothing and Footwear;Sales;2014702.54678992;2018-07-01;JUL 2018;Clothing and Footwear :  Sales
Monthly;2018;DEC;;Clothing and Footwear;Sales;2570754.97488007;2018-12-01;DEC 2018;Clothing and Footwear :  Sales
Monthly;2018;MAR;;Recreation and Culture;Number of Transactions;2674.508;2018-03-01;MAR 2018;Recreation and Culture :  Number of Transactions
Monthly;2018;MAY;;Recreation and Culture;Number of Transactions;2977.615;2018-05-01;MAY 2018;Recreation and Culture :  Number of Transactions
Monthly;2018;DEC;;Recreation and Culture;Number of Transactions;3087.774;2018-12-01;DEC 2018;Recreation and Culture :  Number of Transactions
Monthly;2018;APR;;Miscellaneous Goods and Services;Number of Transactions;3925.584;2018-04-01;APR 2018;Miscellaneous Goods and Services :  Number of Transactions
