Periodicity;Year;Month;Quarter;Economic Activity;Bank Credit in (Million Riyals);Date;Date_Object
Monthly;2023;JUL;;Agriculture, Forestry and Fishing;11107.055543;JUL 2023;2023-07-01
Monthly;2023;OCT;;Mining and Quarrying;42389.874156;OCT 2023;2023-10-01
Monthly;2023;AUG;;Manufacturing;170424.4481689;AUG 2023;2023-08-01
Monthly;2023;APR;;Electricity, Gas and Water Supplies;116802.487355;APR 2023;2023-04-01
Monthly;2023;JUL;;Electricity, Gas and Water Supplies;128526.48045215;JUL 2023;2023-07-01
Monthly;2023;JAN;;Construction;113981.411986;JAN 2023;2023-01-01
Monthly;2023;AUG;;Construction;120607.451992;AUG 2023;2023-08-01
Monthly;2023;DEC;;Construction;120417.17523142;DEC 2023;2023-12-01
Monthly;2023;JUN;;Wholesale and Retail Trade;179448.483737;JUN 2023;2023-06-01
Monthly;2023;AUG;;Wholesale and Retail Trade;182224.36160964;AUG 2023;2023-08-01
Monthly;2023;MAY;;Transportation and Storage;44331.311841;MAY 2023;2023-05-01
Monthly;2023;MAR;;Information and Communication;19850.76190786;MAR 2023;2023-03-01
Monthly;2023;APR;;Information and Communication;20006.00271386;APR 2023;2023-04-01
Monthly;2023;MAY;;Information and Communication;20673.53504386;MAY 2023;2023-05-01
Monthly;2023;JUN;;Information and Communication;19955.37695086;JUN 2023;2023-06-01
Monthly;2023;APR;;Financial and Insurance Activities;107609.905786;APR 2023;2023-04-01
Monthly;2023;JUL;;Real Estate Activities;228680.402542;JUL 2023;2023-07-01
Monthly;2023;AUG;;Real Estate Activities;233084.054735;AUG 2023;2023-08-01
Monthly;2023;SEP;;Real Estate Activities;237028.271206;SEP 2023;2023-09-01
Monthly;2023;OCT;;Real Estate Activities;241744.986854;OCT 2023;2023-10-01
Monthly;2023;JAN;;Professional, Scientific and Technical Activities;5527.608036;JAN 2023;2023-01-01
Monthly;2023;JUN;;Professional, Scientific and Technical Activities;6885.21755;JUN 2023;2023-06-01
Monthly;2023;JUL;;Professional, Scientific and Technical Activities;6870.845144;JUL 2023;2023-07-01
Monthly;2023;NOV;;Professional, Scientific and Technical Activities;7426.258714;NOV 2023;2023-11-01
Monthly;2023;JUN;;Administrative and Support Service Activities;51936.940818;JUN 2023;2023-06-01
Monthly;2023;OCT;;Administrative and Support Service Activities;52061.285593;OCT 2023;2023-10-01
Monthly;2023;JAN;;Human Health and Social Work Activities;17688.450985;JAN 2023;2023-01-01
Monthly;2023;JUN;;Human Health and Social Work Activities;18411.307157;JUN 2023;2023-06-01
Monthly;2023;SEP;;Human Health and Social Work Activities;18740.17105;SEP 2023;2023-09-01
Monthly;2023;OCT;;Human Health and Social Work Activities;18733.742251;OCT 2023;2023-10-01
Monthly;2023;DEC;;Human Health and Social Work Activities;19909.41033;DEC 2023;2023-12-01
Monthly;2023;MAY;;Individuals' Loans;1198757.0028435;MAY 2023;2023-05-01
Monthly;2023;JUL;;Individuals' Loans;1212437.26058488;JUL 2023;2023-07-01
Monthly;2023;DEC;;Individuals' Loans;1245334.25243279;DEC 2023;2023-12-01
Monthly;2023;MAR;;Other Activities;105064.91108207;MAR 2023;2023-03-01
Monthly;2023;DEC;;Other Activities;112335.34466727;DEC 2023;2023-12-01
Monthly;2023;JUN;;Total;2471333.372;JUN 2023;2023-06-01
Annually;2023;;;Mining and Quarrying;40164.315845;2023;2023-01-01
Annually;2023;;;Information and Communication;23764.32848386;2023;2023-01-01
Annually;2023;;;Administrative and Support Service Activities;55000.746531;2023;2023-01-01
Quarterly;2023;;Q4;Agriculture, Forestry and Fishing;10697.76681289;Q4 2023;2023-10-01
Quarterly;2023;;Q4;Mining and Quarrying;40164.315845;Q4 2023;2023-10-01
Quarterly;2023;;Q2;Electricity, Gas and Water Supplies;125095.122199;Q2 2023;2023-04-01
Quarterly;2023;;Q2;Construction;121315.911971;Q2 2023;2023-04-01
Quarterly;2023;;Q2;Wholesale and Retail Trade;179448.483737;Q2 2023;2023-04-01
Quarterly;2023;;Q1;Real Estate Activities;210442.551189;Q1 2023;2023-01-01
Quarterly;2023;;Q4;Professional, Scientific and Technical Activities;7814.801267;Q4 2023;2023-10-01
Quarterly;2023;;Q4;Administrative and Support Service Activities;55000.746531;Q4 2023;2023-10-01
Quarterly;2023;;Q1;Education;5021.652035;Q1 2023;2023-01-01
Quarterly;2023;;Q1;Total;2411009.781;Q1 2023;2023-01-01
Monthly;2023;AUG;;Agriculture, Forestry and Fishing;11185.068071;AUG 2023;2023-08-01
Monthly;2023;FEB;;Manufacturing;168335.91312858;FEB 2023;2023-02-01
Monthly;2023;JUN;;Manufacturing;172885.08654527;JUN 2023;2023-06-01
Monthly;2023;JAN;;Electricity, Gas and Water Supplies;115146.526897;JAN 2023;2023-01-01
Monthly;2023;MAR;;Electricity, Gas and Water Supplies;117576.373943;MAR 2023;2023-03-01
Monthly;2023;DEC;;Electricity, Gas and Water Supplies;141713.73600541;DEC 2023;2023-12-01
Monthly;2023;FEB;;Construction;118266.959202;FEB 2023;2023-02-01
Monthly;2023;APR;;Construction;116897.795534;APR 2023;2023-04-01
Monthly;2023;JUN;;Construction;121315.911971;JUN 2023;2023-06-01
Monthly;2023;NOV;;Construction;127265.04257063;NOV 2023;2023-11-01
Monthly;2023;MAR;;Wholesale and Retail Trade;168274.11432798;MAR 2023;2023-03-01
Monthly;2023;OCT;;Wholesale and Retail Trade;185468.16001492;OCT 2023;2023-10-01
Monthly;2023;JUN;;Transportation and Storage;45006.167829;JUN 2023;2023-06-01
Monthly;2023;APR;;Accommodation and Food Service Activities;38615.661644;APR 2023;2023-04-01
Monthly;2023;AUG;;Accommodation and Food Service Activities;41192.159347;AUG 2023;2023-08-01
Monthly;2023;DEC;;Accommodation and Food Service Activities;41699.791693;DEC 2023;2023-12-01
Monthly;2023;AUG;;Information and Communication;23761.54287686;AUG 2023;2023-08-01
Monthly;2023;JAN;;Financial and Insurance Activities;105354.963801;JAN 2023;2023-01-01
Monthly;2023;MAY;;Financial and Insurance Activities;103775.448225;MAY 2023;2023-05-01
Monthly;2023;AUG;;Financial and Insurance Activities;105823.670089;AUG 2023;2023-08-01
Monthly;2023;DEC;;Financial and Insurance Activities;109200.537222;DEC 2023;2023-12-01
Monthly;2023;JAN;;Real Estate Activities;205706.025446;JAN 2023;2023-01-01
Monthly;2023;MAR;;Real Estate Activities;210442.551189;MAR 2023;2023-03-01
Monthly;2023;APR;;Real Estate Activities;213823.259124;APR 2023;2023-04-01
Monthly;2023;MAY;;Real Estate Activities;217511.013391;MAY 2023;2023-05-01
Monthly;2023;MAR;;Professional, Scientific and Technical Activities;5592.959372;MAR 2023;2023-03-01
Monthly;2023;APR;;Professional, Scientific and Technical Activities;5411.278858;APR 2023;2023-04-01
Monthly;2023;OCT;;Professional, Scientific and Technical Activities;7421.017513;OCT 2023;2023-10-01
Monthly;2023;JUL;;Administrative and Support Service Activities;52226.509142;JUL 2023;2023-07-01
Monthly;2023;AUG;;Administrative and Support Service Activities;52507.513056;AUG 2023;2023-08-01
Monthly;2023;JUN;;Education;5809.622066;JUN 2023;2023-06-01
Monthly;2023;SEP;;Education;6093.90689;SEP 2023;2023-09-01
Monthly;2023;MAR;;Human Health and Social Work Activities;18315.639499;MAR 2023;2023-03-01
Monthly;2023;MAY;;Human Health and Social Work Activities;18109.777726;MAY 2023;2023-05-01
Monthly;2023;NOV;;Human Health and Social Work Activities;19036.9441;NOV 2023;2023-11-01
Monthly;2023;JAN;;Individuals' Loans;1166495.15082287;JAN 2023;2023-01-01
Monthly;2023;MAR;;Individuals' Loans;1183015.43971141;MAR 2023;2023-03-01
Monthly;2023;JAN;;Other Activities;100361.20520717;JAN 2023;2023-01-01
Monthly;2023;FEB;;Other Activities;102097.52291203;FEB 2023;2023-02-01
Monthly;2023;JUL;;Other Activities;98859.0432459901;JUL 2023;2023-07-01
Monthly;2023;NOV;;Other Activities;108135.36715218;NOV 2023;2023-11-01
Monthly;2023;JUL;;Total;2492294.018;JUL 2023;2023-07-01
Monthly;2023;AUG;;Total;2519755.704;AUG 2023;2023-08-01
Monthly;2023;JAN;;Transportation and Storage;42909.77799;JAN 2023;2023-01-01
Annually;2023;;;Manufacturing;172142.7914425;2023;2023-01-01
Annually;2023;;;Wholesale and Retail Trade;184413.50202386;2023;2023-01-01
Annually;2023;;;Transportation and Storage;47499.250293;2023;2023-01-01
Quarterly;2023;;Q2;Mining and Quarrying;40883.092462;Q2 2023;2023-04-01
Quarterly;2023;;Q3;Manufacturing;171918.50633511;Q3 2023;2023-07-01
Quarterly;2023;;Q4;Electricity, Gas and Water Supplies;141713.73600541;Q4 2023;2023-10-01
Quarterly;2023;;Q1;Wholesale and Retail Trade;168274.11432798;Q1 2023;2023-01-01
Quarterly;2023;;Q2;Transportation and Storage;45006.167829;Q2 2023;2023-04-01
Quarterly;2023;;Q1;Accommodation and Food Service Activities;38492.695794;Q1 2023;2023-01-01
Quarterly;2023;;Q2;Accommodation and Food Service Activities;42476.793899;Q2 2023;2023-04-01
Quarterly;2023;;Q4;Accommodation and Food Service Activities;41699.791693;Q4 2023;2023-10-01
Quarterly;2023;;Q1;Information and Communication;19850.76190786;Q1 2023;2023-01-01
Quarterly;2023;;Q2;Information and Communication;19955.37695086;Q2 2023;2023-04-01
Quarterly;2023;;Q2;Professional, Scientific and Technical Activities;6885.21755;Q2 2023;2023-04-01
Quarterly;2023;;Q1;Administrative and Support Service Activities;50061.699733;Q1 2023;2023-01-01
Quarterly;2023;;Q3;Education;6093.90689;Q3 2023;2023-07-01
Quarterly;2023;;Q4;Individuals' Loans;1245334.25243279;Q4 2023;2023-10-01
Monthly;2023;SEP;;Agriculture, Forestry and Fishing;11549.822255;SEP 2023;2023-09-01
Monthly;2023;DEC;;Agriculture, Forestry and Fishing;10697.76681289;DEC 2023;2023-12-01
Monthly;2023;MAY;;Mining and Quarrying;39347.777092;MAY 2023;2023-05-01
Monthly;2023;JAN;;Manufacturing;167481.798484;JAN 2023;2023-01-01
Monthly;2023;APR;;Manufacturing;171348.69633369;APR 2023;2023-04-01
Monthly;2023;MAY;;Manufacturing;173955.54595427;MAY 2023;2023-05-01
Monthly;2023;OCT;;Manufacturing;169745.18376411;OCT 2023;2023-10-01
Monthly;2023;NOV;;Manufacturing;171121.16989311;NOV 2023;2023-11-01
Monthly;2023;DEC;;Manufacturing;172142.7914425;DEC 2023;2023-12-01
Monthly;2023;FEB;;Electricity, Gas and Water Supplies;118206.232847;FEB 2023;2023-02-01
Monthly;2023;JUN;;Electricity, Gas and Water Supplies;125095.122199;JUN 2023;2023-06-01
Monthly;2023;JUL;;Construction;122429.377952;JUL 2023;2023-07-01
Monthly;2023;SEP;;Construction;123030.800179;SEP 2023;2023-09-01
Monthly;2023;FEB;;Wholesale and Retail Trade;167417.13307025;FEB 2023;2023-02-01
Monthly;2023;MAY;;Wholesale and Retail Trade;171568.85355827;MAY 2023;2023-05-01
Monthly;2023;MAR;;Transportation and Storage;43465.270413;MAR 2023;2023-03-01
Monthly;2023;JUL;;Transportation and Storage;47152.356894;JUL 2023;2023-07-01
Monthly;2023;AUG;;Transportation and Storage;46796.137148;AUG 2023;2023-08-01
Monthly;2023;SEP;;Transportation and Storage;48785.992819;SEP 2023;2023-09-01
Monthly;2023;OCT;;Transportation and Storage;49118.58738;OCT 2023;2023-10-01
Monthly;2023;DEC;;Transportation and Storage;47499.250293;DEC 2023;2023-12-01
Monthly;2023;JAN;;Accommodation and Food Service Activities;37394.360698;JAN 2023;2023-01-01
Monthly;2023;MAR;;Accommodation and Food Service Activities;38492.695794;MAR 2023;2023-03-01
Monthly;2023;JUN;;Accommodation and Food Service Activities;42476.793899;JUN 2023;2023-06-01
Monthly;2023;JUL;;Information and Communication;19786.77741086;JUL 2023;2023-07-01
Monthly;2023;OCT;;Information and Communication;23694.86346786;OCT 2023;2023-10-01
Monthly;2023;JUL;;Financial and Insurance Activities;105031.949629;JUL 2023;2023-07-01
Monthly;2023;OCT;;Financial and Insurance Activities;115401.978554;OCT 2023;2023-10-01
Monthly;2023;NOV;;Financial and Insurance Activities;116137.387558;NOV 2023;2023-11-01
Monthly;2023;FEB;;Real Estate Activities;208903.986423;FEB 2023;2023-02-01
Monthly;2023;NOV;;Real Estate Activities;243863.160772;NOV 2023;2023-11-01
Monthly;2023;DEC;;Real Estate Activities;245180.75687;DEC 2023;2023-12-01
Monthly;2023;SEP;;Professional, Scientific and Technical Activities;6348.303733;SEP 2023;2023-09-01
Monthly;2023;SEP;;Administrative and Support Service Activities;51647.885025;SEP 2023;2023-09-01
Monthly;2023;NOV;;Administrative and Support Service Activities;54142.086739;NOV 2023;2023-11-01
Monthly;2023;DEC;;Education;6409.627849;DEC 2023;2023-12-01
Monthly;2023;FEB;;Human Health and Social Work Activities;17598.745595;FEB 2023;2023-02-01
Monthly;2023;APR;;Human Health and Social Work Activities;18291.148358;APR 2023;2023-04-01
Monthly;2023;FEB;;Individuals' Loans;1174196.92667428;FEB 2023;2023-02-01
Monthly;2023;APR;;Individuals' Loans;1193842.7498139;APR 2023;2023-04-01
Monthly;2023;AUG;;Individuals' Loans;1221893.98958012;AUG 2023;2023-08-01
Monthly;2023;MAY;;Other Activities;103871.30836111;MAY 2023;2023-05-01
Monthly;2023;JUN;;Other Activities;97066.19227944;JUN 2023;2023-06-01
Monthly;2023;OCT;;Total;2563928.352;OCT 2023;2023-10-01
Monthly;2023;DEC;;Total;2583698.135;DEC 2023;2023-12-01
Monthly;2023;JAN;;Information and Communication;20233.42422186;JAN 2023;2023-01-01
Annually;2023;;;Financial and Insurance Activities;109200.537222;2023;2023-01-01
Annually;2023;;;Real Estate Activities;245180.75687;2023;2023-01-01
Annually;2023;;;Total;2583698.135;2023;2023-01-01
Quarterly;2023;;Q1;Agriculture, Forestry and Fishing;11261.678337;Q1 2023;2023-01-01
Quarterly;2023;;Q2;Agriculture, Forestry and Fishing;11807.391856;Q2 2023;2023-04-01
Quarterly;2023;;Q1;Electricity, Gas and Water Supplies;117576.373943;Q1 2023;2023-01-01
Quarterly;2023;;Q4;Construction;120417.17523142;Q4 2023;2023-10-01
Quarterly;2023;;Q3;Wholesale and Retail Trade;184663.23808348;Q3 2023;2023-07-01
Quarterly;2023;;Q3;Transportation and Storage;48785.992819;Q3 2023;2023-07-01
Quarterly;2023;;Q3;Accommodation and Food Service Activities;42146.122089;Q3 2023;2023-07-01
Quarterly;2023;;Q1;Financial and Insurance Activities;107937.461093;Q1 2023;2023-01-01
Quarterly;2023;;Q3;Real Estate Activities;237028.271206;Q3 2023;2023-07-01
Quarterly;2023;;Q4;Real Estate Activities;245180.75687;Q4 2023;2023-10-01
Quarterly;2023;;Q2;Administrative and Support Service Activities;51936.940818;Q2 2023;2023-04-01
Quarterly;2023;;Q3;Administrative and Support Service Activities;51647.885025;Q3 2023;2023-07-01
Quarterly;2023;;Q2;Education;5809.622066;Q2 2023;2023-04-01
Quarterly;2023;;Q4;Education;6409.627849;Q4 2023;2023-10-01
Quarterly;2023;;Q2;Human Health and Social Work Activities;18411.307157;Q2 2023;2023-04-01
Quarterly;2023;;Q3;Individuals' Loans;1225257.76775329;Q3 2023;2023-07-01
Quarterly;2023;;Q1;Other Activities;105064.91108207;Q1 2023;2023-01-01
Quarterly;2023;;Q4;Other Activities;112335.34466727;Q4 2023;2023-10-01
Quarterly;2023;;Q2;Total;2471333.372;Q2 2023;2023-04-01
Monthly;2023;FEB;;Agriculture, Forestry and Fishing;11552.178426;FEB 2023;2023-02-01
Monthly;2023;MAR;;Agriculture, Forestry and Fishing;11261.678337;MAR 2023;2023-03-01
Monthly;2023;JUN;;Agriculture, Forestry and Fishing;11807.391856;JUN 2023;2023-06-01
Monthly;2023;JUN;;Mining and Quarrying;40883.092462;JUN 2023;2023-06-01
Monthly;2023;NOV;;Mining and Quarrying;43601.176415;NOV 2023;2023-11-01
Monthly;2023;SEP;;Electricity, Gas and Water Supplies;133036.10130739;SEP 2023;2023-09-01
Monthly;2023;NOV;;Electricity, Gas and Water Supplies;139513.30822882;NOV 2023;2023-11-01
Monthly;2023;MAR;;Construction;118549.192782;MAR 2023;2023-03-01
Monthly;2023;MAY;;Construction;119872.30452599;MAY 2023;2023-05-01
Monthly;2023;OCT;;Construction;126297.00522689;OCT 2023;2023-10-01
Monthly;2023;JAN;;Wholesale and Retail Trade;167868.6999441;JAN 2023;2023-01-01
Monthly;2023;APR;;Wholesale and Retail Trade;171108.00489177;APR 2023;2023-04-01
Monthly;2023;JUL;;Wholesale and Retail Trade;181277.7570181;JUL 2023;2023-07-01
Monthly;2023;FEB;;Transportation and Storage;43113.249468;FEB 2023;2023-02-01
Monthly;2023;FEB;;Accommodation and Food Service Activities;37932.342366;FEB 2023;2023-02-01
Monthly;2023;MAY;;Accommodation and Food Service Activities;39626.263729;MAY 2023;2023-05-01
Monthly;2023;NOV;;Accommodation and Food Service Activities;41570.405435;NOV 2023;2023-11-01
Monthly;2023;SEP;;Information and Communication;23812.64890986;SEP 2023;2023-09-01
Monthly;2023;DEC;;Information and Communication;23764.32848386;DEC 2023;2023-12-01
Monthly;2023;JUN;;Financial and Insurance Activities;103737.973645;JUN 2023;2023-06-01
Monthly;2023;SEP;;Financial and Insurance Activities;112260.146145;SEP 2023;2023-09-01
Monthly;2023;JUN;;Real Estate Activities;221265.073735;JUN 2023;2023-06-01
Monthly;2023;MAY;;Professional, Scientific and Technical Activities;6457.415807;MAY 2023;2023-05-01
Monthly;2023;AUG;;Professional, Scientific and Technical Activities;6988.790184;AUG 2023;2023-08-01
Monthly;2023;APR;;Administrative and Support Service Activities;49634.860258;APR 2023;2023-04-01
Monthly;2023;MAY;;Administrative and Support Service Activities;50782.693234;MAY 2023;2023-05-01
Monthly;2023;DEC;;Administrative and Support Service Activities;55000.746531;DEC 2023;2023-12-01
Monthly;2023;JAN;;Education;4699.343926;JAN 2023;2023-01-01
Monthly;2023;FEB;;Education;4829.606293;FEB 2023;2023-02-01
Monthly;2023;MAR;;Education;5021.652035;MAR 2023;2023-03-01
Monthly;2023;AUG;;Education;6222.374103;AUG 2023;2023-08-01
Monthly;2023;JUL;;Human Health and Social Work Activities;18009.085357;JUL 2023;2023-07-01
Monthly;2023;AUG;;Human Health and Social Work Activities;18378.681696;AUG 2023;2023-08-01
Monthly;2023;JUN;;Individuals' Loans;1207347.61730043;JUN 2023;2023-06-01
Monthly;2023;OCT;;Individuals' Loans;1231142.49588276;OCT 2023;2023-10-01
Monthly;2023;JAN;;Total;2367544.167;JAN 2023;2023-01-01
Monthly;2023;MAR;;Total;2411009.781;MAR 2023;2023-03-01
Monthly;2023;MAY;;Total;2451124.131;MAY 2023;2023-05-01
Annually;2022;;;Mining and Quarrying;36606.035036;2022;2022-01-01
Annually;2022;;;Transportation and Storage;43726.679305;2022;2022-01-01
Annually;2022;;;Real Estate Activities;203114.827772;2022;2022-01-01
Annually;2022;;;Professional, Scientific and Technical Activities;5433.61245;2022;2022-01-01
Annually;2022;;;Administrative and Support Service Activities;46315.99752;2022;2022-01-01
Annually;2022;;;Education;4821.894439;2022;2022-01-01
Annually;2022;;;Individuals' Loans;1162459.40003444;2022;2022-01-01
Annually;2022;;;Total;2349071.015;2022;2022-01-01
Quarterly;2022;;Q4;Mining and Quarrying;36606.035036;Q4 2022;2022-10-01
Quarterly;2022;;Q1;Manufacturing;174385.01807732;Q1 2022;2022-01-01
Quarterly;2022;;Q4;Electricity, Gas and Water Supplies;112088.770341;Q4 2022;2022-10-01
Quarterly;2022;;Q1;Construction;107138.34871584;Q1 2022;2022-01-01
Quarterly;2022;;Q3;Accommodation and Food Service Activities;37627.716541;Q3 2022;2022-07-01
Quarterly;2022;;Q1;Information and Communication;19729.10153245;Q1 2022;2022-01-01
Quarterly;2022;;Q1;Financial and Insurance Activities;88902.40576314;Q1 2022;2022-01-01
Quarterly;2022;;Q3;Financial and Insurance Activities;102042.205371;Q3 2022;2022-07-01
Quarterly;2022;;Q2;Education;5863.83063205;Q2 2022;2022-04-01
Quarterly;2022;;Q4;Education;4821.894439;Q4 2022;2022-10-01
Quarterly;2022;;Q4;Human Health and Social Work Activities;17584.658658;Q4 2022;2022-10-01
Quarterly;2022;;Q2;Individuals' Loans;1109253.87570927;Q2 2022;2022-04-01
Monthly;2022;APR;;Agriculture, Forestry and Fishing;13023.45610938;APR 2022;2022-04-01
Monthly;2022;OCT;;Agriculture, Forestry and Fishing;11850.055845;OCT 2022;2022-10-01
Monthly;2022;MAR;;Mining and Quarrying;32187.26938265;MAR 2022;2022-03-01
Monthly;2022;DEC;;Mining and Quarrying;36606.035036;DEC 2022;2022-12-01
Monthly;2022;JUN;;Manufacturing;174692.06717237;JUN 2022;2022-06-01
Monthly;2022;OCT;;Manufacturing;175492.09953;OCT 2022;2022-10-01
Monthly;2022;NOV;;Manufacturing;168399.371271;NOV 2022;2022-11-01
Monthly;2022;MAR;;Electricity, Gas and Water Supplies;98934.51151991;MAR 2022;2022-03-01
Monthly;2022;APR;;Electricity, Gas and Water Supplies;100263.59167028;APR 2022;2022-04-01
Monthly;2022;NOV;;Electricity, Gas and Water Supplies;112540.236697;NOV 2022;2022-11-01
Monthly;2022;JUN;;Construction;109489.17507018;JUN 2022;2022-06-01
Monthly;2022;DEC;;Construction;109333.25717;DEC 2022;2022-12-01
Monthly;2022;FEB;;Wholesale and Retail Trade;160562.90253286;FEB 2022;2022-02-01
Monthly;2022;MAR;;Wholesale and Retail Trade;164640.14524353;MAR 2022;2022-03-01
Monthly;2022;JUL;;Wholesale and Retail Trade;168804.68875695;JUL 2022;2022-07-01
Monthly;2022;OCT;;Wholesale and Retail Trade;168204.718372;OCT 2022;2022-10-01
Monthly;2022;MAY;;Transportation and Storage;40822.0832974;MAY 2022;2022-05-01
Monthly;2022;DEC;;Transportation and Storage;43726.679305;DEC 2022;2022-12-01
Monthly;2022;MAR;;Information and Communication;19729.10153245;MAR 2022;2022-03-01
Monthly;2022;SEP;;Information and Communication;20734.02563686;SEP 2022;2022-09-01
Monthly;2022;DEC;;Information and Communication;20094.48468586;DEC 2022;2022-12-01
Monthly;2022;MAY;;Real Estate Activities;174236.90845901;MAY 2022;2022-05-01
Monthly;2022;NOV;;Real Estate Activities;201890.393156;NOV 2022;2022-11-01
Monthly;2022;JAN;;Professional, Scientific and Technical Activities;5883.49402101;JAN 2022;2022-01-01
Monthly;2022;AUG;;Professional, Scientific and Technical Activities;5702.71073774;AUG 2022;2022-08-01
Monthly;2022;DEC;;Administrative and Support Service Activities;46315.99752;DEC 2022;2022-12-01
Monthly;2022;MAY;;Education;5421.04123799;MAY 2022;2022-05-01
Monthly;2022;MAY;;Human Health and Social Work Activities;16513.98894352;MAY 2022;2022-05-01
Monthly;2022;JUL;;Human Health and Social Work Activities;17259.57425069;JUL 2022;2022-07-01
Monthly;2022;OCT;;Human Health and Social Work Activities;17222.336391;OCT 2022;2022-10-01
Monthly;2022;NOV;;Human Health and Social Work Activities;17454.804819;NOV 2022;2022-11-01
Monthly;2022;MAY;;Individuals' Loans;1086310.99899849;MAY 2022;2022-05-01
Monthly;2022;JUN;;Individuals' Loans;1109253.87570927;JUN 2022;2022-06-01
Monthly;2022;FEB;;Other Activities;79319.4937249601;FEB 2022;2022-02-01
Monthly;2022;DEC;;Other Activities;100393.3620537;DEC 2022;2022-12-01
Monthly;2022;NOV;;Total;2349296.594;NOV 2022;2022-11-01
Monthly;2022;SEP;;Transportation and Storage;41858.080283;SEP 2022;2022-09-01
Monthly;2022;MAR;;Accommodation and Food Service Activities;34471.20873907;MAR 2022;2022-03-01
Monthly;2022;APR;;Accommodation and Food Service Activities;34766.89466335;APR 2022;2022-04-01
Monthly;2022;MAY;;Accommodation and Food Service Activities;35419.61026909;MAY 2022;2022-05-01
Monthly;2022;JUL;;Accommodation and Food Service Activities;35866.75335505;JUL 2022;2022-07-01
Monthly;2022;DEC;;Accommodation and Food Service Activities;38181.539289;DEC 2022;2022-12-01
Monthly;2022;JUN;;Information and Communication;19405.93602204;JUN 2022;2022-06-01
Monthly;2022;JUL;;Information and Communication;19355.95514195;JUL 2022;2022-07-01
Monthly;2022;JAN;;Financial and Insurance Activities;80262.12526581;JAN 2022;2022-01-01
Monthly;2022;MAR;;Financial and Insurance Activities;88902.40576314;MAR 2022;2022-03-01
Monthly;2022;JAN;;Total;2076302.763;JAN 2022;2022-01-01
Annually;2022;;;Manufacturing;167641.133435;2022;2022-01-01
Annually;2022;;;Information and Communication;20094.48468586;2022;2022-01-01
Quarterly;2022;;Q1;Agriculture, Forestry and Fishing;13062.03683046;Q1 2022;2022-01-01
Quarterly;2022;;Q3;Agriculture, Forestry and Fishing;12274.876499;Q3 2022;2022-07-01
Quarterly;2022;;Q2;Mining and Quarrying;34026.28305955;Q2 2022;2022-04-01
Quarterly;2022;;Q2;Wholesale and Retail Trade;166520.5164116;Q2 2022;2022-04-01
Quarterly;2022;;Q3;Wholesale and Retail Trade;167882.596822;Q3 2022;2022-07-01
Quarterly;2022;;Q4;Wholesale and Retail Trade;167665.360438;Q4 2022;2022-10-01
Quarterly;2022;;Q2;Transportation and Storage;40580.85150974;Q2 2022;2022-04-01
Quarterly;2022;;Q2;Information and Communication;19405.93602204;Q2 2022;2022-04-01
Quarterly;2022;;Q4;Information and Communication;20094.48468586;Q4 2022;2022-10-01
Quarterly;2022;;Q4;Financial and Insurance Activities;102368.918244;Q4 2022;2022-10-01
Quarterly;2022;;Q1;Real Estate Activities;168508.64474386;Q1 2022;2022-01-01
Quarterly;2022;;Q4;Professional, Scientific and Technical Activities;5433.61245;Q4 2022;2022-10-01
Quarterly;2022;;Q3;Administrative and Support Service Activities;46485.419841;Q3 2022;2022-07-01
Quarterly;2022;;Q4;Administrative and Support Service Activities;46315.99752;Q4 2022;2022-10-01
Quarterly;2022;;Q3;Education;3766.819166;Q3 2022;2022-07-01
Quarterly;2022;;Q1;Other Activities;82537.4783382899;Q1 2022;2022-01-01
Quarterly;2022;;Q3;Other Activities;92303.9682149701;Q3 2022;2022-07-01
Quarterly;2022;;Q2;Total;2241917.864;Q2 2022;2022-04-01
Quarterly;2022;;Q3;Total;2315577.867;Q3 2022;2022-07-01
Monthly;2022;JUN;;Agriculture, Forestry and Fishing;12642.85410133;JUN 2022;2022-06-01
Monthly;2022;NOV;;Agriculture, Forestry and Fishing;11866.875483;NOV 2022;2022-11-01
Monthly;2022;DEC;;Agriculture, Forestry and Fishing;11241.084129;DEC 2022;2022-12-01
Monthly;2022;APR;;Mining and Quarrying;33337.92182564;APR 2022;2022-04-01
Monthly;2022;JUN;;Mining and Quarrying;34026.28305955;JUN 2022;2022-06-01
Monthly;2022;JUL;;Mining and Quarrying;36952.07486238;JUL 2022;2022-07-01
Monthly;2022;SEP;;Mining and Quarrying;37182.315497;SEP 2022;2022-09-01
Monthly;2022;JAN;;Manufacturing;169646.94456191;JAN 2022;2022-01-01
Monthly;2022;FEB;;Manufacturing;172238.69349237;FEB 2022;2022-02-01
Monthly;2022;MAR;;Manufacturing;174385.01807732;MAR 2022;2022-03-01
Monthly;2022;AUG;;Manufacturing;174302.18572531;AUG 2022;2022-08-01
Monthly;2022;SEP;;Manufacturing;175422.019601;SEP 2022;2022-09-01
Monthly;2022;JAN;;Electricity, Gas and Water Supplies;92081.54052803;JAN 2022;2022-01-01
Monthly;2022;MAY;;Electricity, Gas and Water Supplies;102830.10701062;MAY 2022;2022-05-01
Monthly;2022;JUN;;Electricity, Gas and Water Supplies;103942.8178155;JUN 2022;2022-06-01
Monthly;2022;OCT;;Electricity, Gas and Water Supplies;109444.058229;OCT 2022;2022-10-01
Monthly;2022;MAY;;Construction;108116.09351709;MAY 2022;2022-05-01
