Periodicity;Year;Month;Quarter;Economic Activity;Bank Credit in (Million Riyals);Date;Date_Object
Quarterly;2025;;Q4;Manufacturing;193599.458640416;Q4 2025;2025-10-01
Quarterly;2025;;Q1;Electricity, Gas and Water Supplies;181430.860977;Q1 2025;2025-01-01
Quarterly;2025;;Q1;Construction;131447.580746;Q1 2025;2025-01-01
Quarterly;2025;;Q3;Wholesale and Retail Trade;216238.619803253;Q3 2025;2025-07-01
Quarterly;2025;;Q1;Financial and Insurance Activities;161233.35908;Q1 2025;2025-01-01
Quarterly;2025;;Q3;Financial and Insurance Activities;184660.106124693;Q3 2025;2025-07-01
Quarterly;2025;;Q1;Administrative and Support Service Activities;68671.918;Q1 2025;2025-01-01
Quarterly;2025;;Q3;Administrative and Support Service Activities;70863.138;Q3 2025;2025-07-01
Quarterly;2025;;Q1;Education;9349.729;Q1 2025;2025-01-01
Quarterly;2025;;Q3;Human Health and Social Work Activities;26765.601003;Q3 2025;2025-07-01
Quarterly;2025;;Q3;Individuals' Loans;1425126.46258459;Q3 2025;2025-07-01
Quarterly;2025;;Q3;Other Activities;162713.16565392;Q3 2025;2025-07-01
Monthly;2025;FEB;;Agriculture, Forestry and Fishing;10137.265747;FEB 2025;2025-02-01
Monthly;2025;MAY;;Agriculture, Forestry and Fishing;10650.93;MAY 2025;2025-05-01
Monthly;2025;SEP;;Agriculture, Forestry and Fishing;14320.861;SEP 2025;2025-09-01
Monthly;2025;OCT;;Agriculture, Forestry and Fishing;14401.696332;OCT 2025;2025-10-01
Monthly;2025;JAN;;Mining and Quarrying;49940.462977;JAN 2025;2025-01-01
Monthly;2025;MAR;;Mining and Quarrying;52629.751;MAR 2025;2025-03-01
Monthly;2025;MAY;;Mining and Quarrying;48567.873;MAY 2025;2025-05-01
Monthly;2025;JUL;;Mining and Quarrying;47018.23089074;JUL 2025;2025-07-01
Monthly;2025;OCT;;Mining and Quarrying;48950.668;OCT 2025;2025-10-01
Monthly;2025;DEC;;Mining and Quarrying;49759.069;DEC 2025;2025-12-01
Monthly;2025;FEB;;Manufacturing;185104.111696;FEB 2025;2025-02-01
Monthly;2025;JUL;;Manufacturing;195362.096523017;JUL 2025;2025-07-01
Monthly;2025;JAN;;Electricity, Gas and Water Supplies;179630.955679;JAN 2025;2025-01-01
Monthly;2025;MAY;;Electricity, Gas and Water Supplies;195877.47944893;MAY 2025;2025-05-01
Monthly;2025;SEP;;Electricity, Gas and Water Supplies;210460.575214277;SEP 2025;2025-09-01
Monthly;2025;MAR;;Construction;131447.580746;MAR 2025;2025-03-01
Monthly;2025;MAY;;Construction;138739.22896628;MAY 2025;2025-05-01
